label,name,review,id
0.0,hurt_locker,"every movie about iraq is popular cause it makes people feel like theyre concerned by watching it but this film has no story-it's just a sequence of events. there is no goal/obstacle or character development, which is screenwriting 101. i call it a FAIL.",605
0.0,hunt_for_the_wilderpeople,"Surprising, whimsical, engaging, character based--thank you God! Came in rushed, went out happy, filled with love for life and living it. Great movie.",696
0.0,wall_e,First saw it in theaters,867
0.0,star_wars_episode_vii_the_force_awakens,"Simple remake of the old movie, with a protagonist who basically knows every force skill without training it, ever...",1063
0.0,ghostbusters,I went expecting to see a funny movie...,1228
0.0,1197696-fantastic_mr_fox,"The not-so-Fantastic Mr Fox pointlessly embellishes an already brilliant book and turns it into a creepy, witless and overwrought piece of cinematic claptrap.",1240
0.0,1197696-fantastic_mr_fox,The weirdest snapping movie ever! (Noah and Hannah highly enjoyed it though),1251
0.0,1059489-wild_bunch,You'll have more fun shooting yourself.,1357
0.0,the_dark_knight,IT IS A VERY GOOD MOVIE,1483
0.0,the_dark_knight,sucky?¡ã(TM)...?¡ã(TM)...?¡ã',1490
0.0,true-grit-2010,"very disappointed, all of them characters portrayed themselves with a certain mount of respect, cogburns was intermittent. but ultimately a good man , the portrayal of maddie as a weak and indecisive is upsetting despite her strong performance throughout the original.",1506
0.0,paths_of_glory,"Yo Homeslemme spit whut i thought on dis flick.it ight, i mean wasnt the best gangsta movie. but i stilll watched it, i was coked up the whole time. but i enjoyed the rush i had after words. well i got things to sell ppl to see. so im outiepeace nukkah",1616
0.0,dawn_of_the_planet_of_the_apes,There were interesting visuals in this movie....,1662
0.0,pinocchio_1940,Pinocchio always made me cry!,1832
0.0,pinocchio_1940,i want to see this movie,1839
0.0,antz,Those little creepers.,1920
0.0,captain_underpants_the_first_epic_movie,"D.C. DxDaszz,a sister;5;;....5/88,98,8( frdvcvwjacv",1971
0.0,the_illusionist-2009,Toy story kills this movie,2002
0.0,shrek,too many pop culture references,2025
0.0,shrek,"If you like to write with crayons, this film is for you..",2031
0.0,metropolis_2002,Should have just stuck with the original film. If it ain't broken...,2076
0.0,lady_and_the_tramp,"Even a kid I disliked it. It's brilliantly de-constucted by a character in Whit Stillman's ""Last Days of Disco,"" as a training film to get woman to apt flawed men",2102
0.0,1048445-snow_white_and_the_seven_dwarfs,"Just because it's a classic, doesn't mean it's good, great example, this movie",2337
0.0,beatles_the_yellow_submarine,I really think you need to be high to enjoy this film.,2399
0.0,toy_story_3,In which Toy Story begins to wear out its welcome.,2610
0.0,frozen_2013,It is a good movie if you are a girl under 16 years old.,2659
0.0,ponyo,The kid's movie equivalent of the double bird.,2751
0.0,1197696-fantastic_mr_fox,"The not-so-Fantastic Mr Fox pointlessly embellishes an already brilliant book and turns it into a creepy, witless and overwrought piece of cinematic claptrap.",2761
0.0,kung_fu_panda_3,"Subtle promotion of homosexuality (Po's repeated celebration of his two ""dads"") and an inordinate emphasis on discovering oneself without reference to external standards detracted from the innocent fun of the previous two entries in this series.",2794
0.0,moana_2016,"Moana brings song and cheer and glee with a tidal baptism into paganism. Due to its apologetic breadth of revere for the occult, this may be Disney's darkest film to date.",3008
0.0,anomalisa,"If anyone wants to watch puppets master bate, watch this",3092
0.0,kung_fu_panda,"As much as I love animated and kids movies, this one is hardly entertaining.",3100
0.0,tarzan,CARTOON TARZAN... ALL SET,3112
0.0,finding_dory,"Very dark, and they make fun of people with special needs.",3156
0.0,1042582-aladdin,"I liked that film. Plus, I loved the ride, at Walt Disney World, which the ride makes my Mom dizzy, in the Magic Kingdom.",3582
0.0,battleship_potemkin,"The master of montage at his finest, but again, I couldn't watch it over and over and that is what I look for in a film.",3714
0.0,13_assassins_2011,"Inexcusably slow. After viewing the screenshots on the back of the Blu-Ray case, you've seen the best of '13 Assassins'.",3744
0.0,amour_2013,"Devastating,wonderful....",3761
0.0,amour_2013,"Filme deprimente e ap??tico, apesar de realista, infelizmente.",3778
0.0,elle_2016,"Really bad film, with the exception of Huppert's brilliant acting, though why she submitted to the role is beyond me. Horribly misogynistic.",3853
0.0,the_loved_ones_2012,"After a promising opening, the Loved Ones descends into banal sickness. I did not love this one.",4211
0.0,1216014-still_walking,"Un film muy recomendable. De profunda serenidad y gran belleza pl????stica, la pel????cula posee reminiscencias del cine de Yasujiro Ozu.",4227
0.0,the_cabinet_of_dr_caligari,Boy if you don't get...,4491
0.0,dr_strangelove,Should be called Doctor Strange.....Not one of my favourite movies.,4574
0.0,1048445-snow_white_and_the_seven_dwarfs,"Just because it's a classic, doesn't mean it's good, great example, this movie",4634
0.0,1013970-miracle_on_34th_street,"if any movie could give you a cavity, it would be this.",4684
0.0,bringing_up_baby,"Known as a classic screwball comedy, but I didn't love it.",4742
0.0,nosferatu,He stalks you in the dark.,4892
0.0,1000085-2001_a_space_odyssey,"Another north american bullshit ,but it maid in 1968 so i needed to say awesome",4930
0.0,1011615-king_kong,Great film.. tearjerker!,5089
0.0,the_african_queen_1951,Oh Jesus this movie was boring. You would think that a film with Humphrey Bogart and Katherine fucking Hepburn would be amazing and groundbreaking (and peoeple think it is) but it's so long and boring and boring. Don't watch it.,5126
0.0,the_grand_budapest_hotel,"Okay, in every scene just stare wide eyed into the camera, because it's hilarious.",5308
0.0,sideways,I despised this movie,5434
0.0,birdman_2014,"Very simple, don't.... You will never get that time back.",5535
0.0,1009096-hairspray,the new ones way better,5621
0.0,dont_think_twice,Struggling comedians should appreciate this movie.,5747
0.0,hunt_for_the_wilderpeople,Malisima en todo sentido.,5780
0.0,bullets_over_broadway,Please help me forget,5948
0.0,chicken_run,Claymation is creepy.,6432
0.0,ghostbusters,Buena la canci??n original.,6467
0.0,big,Hanks makes BIG balles up,6939
0.0,sound_city,I thought it was a excellent movie and I would watch it again And again.,7211
0.0,amy_2015,who want to see this druggy,7227
0.0,inconvenient_truth,I'm totally serial. Manbearpig is REAL,7457
0.0,room_237_2012,NEVER watch this movie....EVER.,7706
0.0,for_the_bible_tells_me_so,"This movie uses every fallacious argument in the book, while throwing in a few questionable theologians into the mix for good measure.",7845
0.0,baby_driver,Want to see an action movie that youve seen a million times before? Want to see Kevin Spacey play a villian? How about a tired love story that halts all action? This movie is for you my friend. Enjoy!,7959
0.0,spotlight_2015,Catholic bigotry at it's best. Go check your local school district and see how that is going for the children abused and molested by union protected faculty!,8272
0.0,taxi_driver,The final act is one of the Funniest/Dumbest things Ever committed to film.i feel a little dumber for seeing it ....,8352
0.0,love_and_friendship,Five to four stars on this movie how about five thumbs down.,8715
0.0,manchester_by_the_sea,What kind of deranged people thought this was an enjoyable movie?,9092
0.0,night_of_the_hunter,"Para aquellos que tuvieron la suerte de no verla, no se hagan ilusiones con este film de segunda mano.",9163
0.0,citizen_kane,Suppos?? (C)ment LE meilleur film am?? (C)ricain de tout les temps ...PUTAIN QUE C'EST LONG & NUL !!!!,9329
0.0,war_for_the_planet_of_the_apes,The perfect litmus test - if you hate it you're a genius / if you like it you're an idiot.,9531
0.0,creed_2015,OhMyGod! The description alone causes goosebumps of terror on my skin.,9727
0.0,schindlers_list,What an unpleasant experience,9746
0.0,hurt_locker,"every movie about iraq is popular cause it makes people feel like theyre concerned by watching it but this film has no story-it's just a sequence of events. there is no goal/obstacle or character development, which is screenwriting 101. i call it a FAIL.",9774
0.0,the_african_queen_1951,Oh Jesus this movie was boring. You would think that a film with Humphrey Bogart and Katherine fucking Hepburn would be amazing and groundbreaking (and peoeple think it is) but it's so long and boring and boring. Don't watch it.,9808
0.0,seven_samurai_1956,"Intersting, but definitely not a top 100 movie.",10038
0.0,goodnight_mommy,A seat-squirming experience. Truly an unpleasant movie.,10226
0.0,1003625-carrie,"Ha ha, k, this movie is messed up. Ya, it's true",10299
0.0,spring_2015,"I think this line from the movie sums it up:...""A zombie was doing heroine""",10306
0.0,the_conjuring_2,"A standard contemporary jump horror, with no real surprises if you've watched any classic horror films from the 70s/80s. If you're looking for a film to scare you with purposefully narrow camera angles and poor character decisions, you've come to the right place.",10311
0.0,ginger_snaps,"Jesus on a bicycle! Although the werewolf effects are closer to sci-fi than horror, there's a lot of disturbing mileage gained with boobs jutting out in the wrong places. The soundtrack's also psuedo-Silent Hill.",10450
0.0,the-evil-dead,"Too serious the sequels become more hilarious and ""B"" rated",10953
0.0,henry-portrait-of-a-serial-killer,"Probably the most brutal and one of the most disturbing films I've ever seen. Really low budget and very well done in showing how psychotics and psychotic criminals view ethics, reason and their rights to do what they want to do. VERY HARD-CORE! Don't lend to your Mammie to watch!",11443
0.0,drag_me_to_hell,"what a jerk movie , wasting time ... but there is one moral lesson in this movie: when you could help somebody in your life, help him/her. so you won't regret it and feel guilty",11516
0.0,house_of_the_devil,"Se ningu??m contasse eu acharia que ?? um filme da d??cada de 1970/80. Pena que esta homenagem aos filmes de terror antigos seja t??o parada e decepcionante. Demora um eternidade para algo acontecer, e no final ocorre tudo de uma s?? vez, e r??pido demais.",11624
0.0,willow_creek,"Give me 80 minutes of my life back , sad when the most terrifying scene in the film was a shocking appearance by an overweight naked woman .",11707
0.0,1006234-dracula,Martin has such a tough job.,11794
0.0,exorcist,"Perhaps the greatest mystery of this film is how it became known as ""the most frightening horror movie of all time"". An Ill conceived mess of a movie who's power to frighten lies solely in its sheer vulgarity.",11831
0.0,1020662-suspiria,"I'm sure it was revolutionary for its time, but I'm not a horror fan. 1001 movies to see before you die.",11956
0.0,1010679-invasion_of_the_body_snatchers,"""L'invasion des profanateurs""",12308
0.0,let_me_in,"comparing to the novel, it's actually kinna devastating. if i give novel 9/10, then this movie would be 2/10. the reason why it still has 2 is cause the hollywood special effect got its back",12814
0.0,room_237_2012,NEVER watch this movie....EVER.,12985
0.0,millions,Boy spreads stolen wealth with the help of saints.,13191
0.0,the_peanuts_movie,sacarine retread of Charles Schultz comic strip. Misses the subtle morality of the strip.,13470
0.0,shrek_2,This one isn't as great as the 1st or 3rd.,13495
0.0,finding_nemo,"Finally saw it, major let down. To much hypr",13508
0.0,sound_of_music,Manages to be cloyingly sweet while it trivializes Nazism.,13560
0.0,shrek,Great movie but not when you have younger siblings or its the only good movie that your school has that isn't a documentary ...,13738
0.0,the-secret-of-kells,You must go where I cannot. Well-made and equipped with chiming symbolism.,13775
0.0,field_of_dreams,"""If you build it they will come...""",13793
0.0,the_jungle_book_2016,"even entertaining film where Disney nostalgia is appreciated, but as with remakes, everything will crash.",13836
0.0,101_dalmatians,like the animated film better,13856
0.0,coraline,"I read the book, which was fabulous. This movie made me want to pull out my hair.",13938
0.0,1065598-babe,cutee...if you like barn animal movies.,14195
0.0,1048445-snow_white_and_the_seven_dwarfs,"Just because it's a classic, doesn't mean it's good, great example, this movie",14236
0.0,freaky_friday,Oh how much lindsey has changed since this movie!,14267
0.0,that_thing_you_do,I went to see this for my first date.,14328
0.0,willy_wonka_and_the_chocolate_factory,Terrifying! Especially the Oompas...,14480
0.0,a_monster_calls,If they would have released a 3-D DVD version then absolutely would be a bestseller and recommended amongst all friends. Other than that it's the same movie whether it's in 4K regular DVD still boring. They need that 3-D DVD version to be a seller,14490
