label,name,review
0.0,seymour_an_introduction,Should've died in the holocaust
1.0,seymour_an_introduction,a hymn to the transcendent via music. Wonderful. A film to see again and again.
0.0,seymour_an_introduction,"The movie could have been reduced to a two minute bio to be played before Seymour receives some award no one cares about. I'm sure it's considered inspiring or heartwarming, but it was not worth making into a movie."
1.0,seymour_an_introduction,Beautiful just beautiful. Makes me love music even more. Bravo Seymour.
1.0,seymour_an_introduction,"Fabulous movie. What a great view into a true artist's life. It has always been extremely fascinating to me to understand what an artist has to go through to make it where they are. This is a great vision of how much goes into being classical pianists, as well as how they view life in general."
1.0,seymour_an_introduction,Inspiring! It made me want to start training martial arts again (live my life like an art form). I think that everyone will get something out of watching this movie. A lot of introspection = great film.
1.0,seymour_an_introduction,Is more about life than music . life as told by a master. A very powerful film.
1.0,seymour_an_introduction,I want to watch it again!
1.0,seymour_an_introduction,Seymour is the kind of guy that just oozes wisdom and knowledge that one can only gain through a lifetime of achievements and despair.
1.0,seymour_an_introduction,"Absolutely fantastic!! Full of deep understanding of human emotion through music- life itself as understood through music! I highly recommend this to anyone who loves music. This movie, and the man who is portrayed is a treasure Thank You Ethan Hawke!!!"
1.0,seymour_an_introduction,"Don't care for documentaries as a rule, but this one is stirring, heartwarming, magnificent. Don't miss it."
1.0,seymour_an_introduction,Seymour is charming. I enjoyed this look into his world and his insights on music and life.
1.0,seymour_an_introduction,"A wonderful film about music, art and life! Don't miss it!"
1.0,the_life_and_times_of_hank_greenberg,"There is a reason that the critics loved this film. it was terrific. A great look atca wonderful player and his struggle against discrimination, before Jackie Robinson's struggle. Must see."
1.0,the_life_and_times_of_hank_greenberg,Great Film about one of the greatest Tigers of all time
1.0,elaine_stritch_shoot_me_2013,"An outstanding testament to a legend of live theatre, Elaine Stritch: Shoot Me is an enjoyable ride from start to finish, painting a fascinating portrait."
1.0,elaine_stritch_shoot_me_2013,She was a force of nature.
1.0,elaine_stritch_shoot_me_2013,"Simply hilarious, there will never be another Elaine Stritch"
1.0,elaine_stritch_shoot_me_2013,An amazing film ~ Karasawa captures the shimmering wisdom and the murky neurosis innate to every human being. Bravo to Elaine for never giving up!!! Bravo to Elaine for exposing her humanity for all to see!!!
